"","X","X.3","X.2","X.1","lakeID","dateSample","time","TOD","depthClass","counts","ind_m3","mgC_L","EPA_mgC","DHA_mgC","PC","C18_mgC","depth","DOmgL","temp","PAR","CPUE","fish_m3","zoops.allDepths","depthZoops","Daphnia","Copepods","Holopedium","lx","reactionDist","mu","growth"
"79",79,79,81,81,"BR","5/20/13","23:00","Night","PML",41,2733.33333333333,1.1395,0.000658980098008794,0,0.0103021184730145,0.00205464674245122,0.75,10.68,17.9,0,2.02181170026431,0.0578035965105566,344133.333333333,219800,32333.3333333333,101466.666666667,533.333333333333,0,0,0,0.041947982020612
"80",80,80,82,82,"BR","5/20/13","23:00","Night","Hypo",49,3266.66666666667,2.606,0.000674217522093768,0.000609719266077372,0.0238414351496546,0.00119455599901808,3,5.82,9.7,0,2.02181170026431,0.0578035965105566,344133.333333333,124333.333333333,6000,72466.6666666667,66.6666666666667,0,0,0,0.199004765839113
"81",81,81,83,83,"BR","7/23/13","11:00","Day","PML",1207,80466.6666666667,1.43714285714286,0.00131487447913406,0,0.0151870675944334,0.00275689792919074,1,7.07,22.3,19.01,2.02181170026431,0.0578035965105566,237800,179600,11600,95133.3333333333,0,1026.54,0.416179747576572,0.000267051055950587,0.0399859982078439
"82",82,82,84,84,"BR","7/23/13","11:00","Day","Hypo",289,19266.6666666667,2.606,0,0,0.0238414351496546,0.0011483904758799,4,0.06,13.8,0,2.02181170026431,0.0578035965105566,237800,58200,2466.66666666667,28466.6666666667,0,0,0,0,0
"83",83,83,85,85,"RB","7/24/13","11:30","Day","PML",9,600,0.7015,0,0,0.010737840342124,0.00263924607480592,1,7.44,22.6,277.7,4.90691596474801,0.140288727432146,382533.333333333,200866.666666667,171266.666666667,6733.33333333333,21800,14995.8,0.419943801377343,0.000410227948669384,0.0409130859109276
"84",84,84,86,86,"RB","7/24/13","11:30","Day","Hypo",268,17866.6666666667,1.49,0,0,0.00773927293064877,0.00331414876452748,4,0.09,9.4,2.96,4.90691596474801,0.140288727432146,382533.333333333,181666.666666667,86000,70400,23466.6666666667,159.84,0.411334257413388,0.000393579669083349,0
"85",85,85,87,87,"WL","7/25/13","11:00","Day","PML",20,1333.33333333333,0.604,0,0,0.00495658112582782,0.0052467666459752,1,6.54,21.4,157.64,0,0,211466.666666667,106800,22133.3333333333,52200,3066.66666666667,8512.56,0.419330184162212,0,0.00511993257893298
"86",86,86,88,88,"WL","7/25/13","11:00","Day","Hypo",22,1466.66666666667,NA,NA,NA,NA,NA,4,1.93,8.9,2.91,0,0,211466.666666667,104666.666666667,11066.6666666667,78333.3333333333,1533.33333333333,157.14,0.41127411569034,0,NA
"87",87,87,89,89,"HB","7/26/13","11:30","Day","PML",32,2133.33333333333,2.01888888888889,0.00246316938226887,0.00139384344083649,0.00690649697303247,0.00739401725184224,0.25,5.73461538461538,0,99.24,5.08513576076687,0.145384031400325,102266.666666667,75600,4200,53000,5666.66666666667,5358.96,0.418770149954591,0.00158133340704851,0.0464491791559671
"88",88,88,90,90,"HB","7/26/13","11:30","Day","Hypo",211,14066.6666666667,1.8525,0.000854311692037285,0,0.00357412955465587,0.00184254063711438,3.5,0.1,5.9,0,5.08513576076687,0.145384031400325,102266.666666667,26666.6666666667,2933.33333333333,18333.3333333333,2666.66666666667,0,0,0,0
