Row,Lake_ID,Site Name,date set,datesample,datetimeset,datetimesample,Sample_ID,Fish_ID,Crew,Gear,gear_code,Effort,Effort_units,Fish_Num,Species,SpeciesFull,Length_mm,Weight_g,Tag Apply,Tag Recapture,Clip_apply,Clip_recap,tag_clip_type,Sex,Mort.,Removed,Diet,Otolith,Tissue,Comments,MetaID
85,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__085,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,085,BHD,black_bullhead,,
86,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__086,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,086,BHD,black_bullhead,,
87,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__087,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,087,BHD,black_bullhead,,
88,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__088,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,088,BHD,black_bullhead,,
89,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__089,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,089,BHD,black_bullhead,,
90,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__090,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,090,BHD,black_bullhead,,
91,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__091,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,091,BHD,black_bullhead,,
92,MO,Trap01,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap01_20130604_0845_MT_,MO_Trap01_20130604_0845_MT__092,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,092,BHD,black_bullhead,,
93,MO,Trap02,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap02_20130604_0845_MT_,MO_Trap02_20130604_0845_MT__001,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,001,BHD,black_bullhead,61,2.1
94,MO,Trap02,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap02_20130604_0845_MT_,MO_Trap02_20130604_0845_MT__002,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,002,BHD,black_bullhead,59,2.8
95,MO,Trap02,2013-06-03,2013-06-04,2013-06-03 09:00,2013-06-04 08:45,MO_Trap02_20130604_0845_MT_,MO_Trap02_20130604_0845_MT__003,"LR, EG",MT,minnowtrap_survey,23.75,trap_hours,003,BHD,black_bullhead,61,3.8
